frame.number,frame.time_relative,frame.protocols,ip.src,ip.dst
18665,15.633073576,eth:ethertype:data,,
18730,15.671406977,eth:ethertype:data,,
18767,15.708008088,eth:ethertype:data,,
19150,16.004702804,eth:ethertype:data,,
19155,16.008230301,eth:ethertype:data,,
19261,16.084700384,eth:ethertype:data,,
19336,16.130039768,eth:ethertype:data,,
19370,16.167816347,eth:ethertype:data,,
19474,16.244941950,eth:ethertype:data,,
19654,16.387176033,eth:ethertype:data,,
19749,16.444618114,eth:ethertype:data,,
19945,16.590499016,eth:ethertype:data,,
19977,16.626412992,eth:ethertype:data,,
20053,16.674605550,eth:ethertype:data,,
20165,16.761883540,eth:ethertype:data,,
20166,16.774502694,eth:ethertype:data,,
20196,16.793247728,eth:ethertype:data,,
20277,16.844591846,eth:ethertype:data,,
20301,16.870320103,eth:ethertype:data,,
20412,16.957083874,eth:ethertype:data,,
20461,17.049065297,eth:ethertype:data,,
20644,17.154986549,eth:ethertype:data,,
20663,17.180990275,eth:ethertype:data,,
20742,17.225929086,eth:ethertype:data,,
20746,17.231501685,eth:ethertype:data,,
20753,17.244682610,eth:ethertype:data,,
20867,17.323690138,eth:ethertype:data,,
20889,17.344777774,eth:ethertype:data,,
20923,17.368077179,eth:ethertype:data,,
21073,17.471224529,eth:ethertype:data,,
21110,17.509196003,eth:ethertype:data,,
21202,17.565689490,eth:ethertype:data,,
21307,17.644613790,eth:ethertype:data,,
21517,17.797969060,eth:ethertype:data,,
21547,17.832948350,eth:ethertype:data,,
21607,17.870326230,eth:ethertype:data,,
21715,17.949481155,eth:ethertype:data,,
21743,17.981461541,eth:ethertype:data,,
21815,18.028351340,eth:ethertype:data,,
21936,18.132531449,eth:ethertype:data,,
22219,18.331372196,eth:ethertype:data,,
22333,18.430771997,eth:ethertype:data,,
22404,18.472311384,eth:ethertype:data,,
22441,18.513195564,eth:ethertype:data,,
22525,18.564032755,eth:ethertype:data,,
22555,18.597801577,eth:ethertype:data,,
22629,18.643677991,eth:ethertype:data,,
22653,18.670666142,eth:ethertype:data,,
22726,18.715454902,eth:ethertype:data,,
22732,18.745787894,eth:ethertype:data,,
22757,18.780564110,eth:ethertype:data,,
22902,18.874551937,eth:ethertype:data,,
22928,18.905738261,eth:ethertype:data,,
22965,18.914446482,eth:ethertype:data,,
22991,18.938628334,eth:ethertype:data,,
23063,18.981000533,eth:ethertype:data,,
23099,19.018476331,eth:ethertype:data,,
23101,19.022063463,eth:ethertype:data,,
23169,19.070049354,eth:ethertype:data,,
23200,19.094604956,eth:ethertype:data,,
23273,19.141575380,eth:ethertype:data,,
23301,19.171651184,eth:ethertype:data,,
23401,19.251725378,eth:ethertype:data,,
23607,19.404665128,eth:ethertype:data,,
23689,19.455598204,eth:ethertype:data,,
23701,19.478212558,eth:ethertype:data,,
23718,19.487387705,eth:ethertype:data,,
23778,19.525732981,eth:ethertype:data,,
23802,19.554160558,eth:ethertype:data,,
23890,19.612926856,eth:ethertype:data,,
23911,19.632369441,eth:ethertype:data,,
24000,19.685078662,eth:ethertype:data,,
24003,19.692505165,eth:ethertype:data,,
24027,19.715520768,eth:ethertype:data,,
24091,19.754516356,eth:ethertype:data,,
24318,19.941116177,eth:ethertype:data,,
24515,20.089257546,eth:ethertype:data,,
24590,20.134503544,eth:ethertype:data,,
24623,20.171207103,eth:ethertype:data,,
24710,20.232241472,eth:ethertype:data,,
24733,20.253996763,eth:ethertype:data,,
24831,20.314529466,eth:ethertype:data,,
24847,20.331595960,eth:ethertype:data,,
24935,20.394565118,eth:ethertype:data,,
25018,20.497392051,eth:ethertype:data,,
25023,20.524355932,eth:ethertype:data,,
25199,20.655462785,eth:ethertype:data,,
25208,20.659188355,eth:ethertype:data,,
25269,20.699738107,eth:ethertype:data,,
25293,20.706402424,eth:ethertype:data,,
25331,20.738243539,eth:ethertype:data,,
25406,20.784565630,eth:ethertype:data,,
25492,20.856283791,eth:ethertype:data,,
25534,20.892206256,eth:ethertype:data,,
25602,20.933392832,eth:ethertype:data,,
25606,20.943306260,eth:ethertype:data,,
25729,21.039820542,eth:ethertype:data,,
25801,21.083382428,eth:ethertype:data,,
25828,21.113680419,eth:ethertype:data,,
25901,21.158610793,eth:ethertype:data,,
26002,21.236579052,eth:ethertype:data,,
26032,21.271811935,eth:ethertype:data,,
26138,21.349164152,eth:ethertype:data,,
26215,21.396333326,eth:ethertype:data,,
26325,21.489500008,eth:ethertype:data,,
26497,21.609309997,eth:ethertype:data,,
